,precision,recall,f1-score,folder,model_size
weighted avg,0.9011774927106876,0.8778067531411928,0.8860401547777468,3_3_50_1000,1.7920913763820803
living macro avg,0.4821288340863626,0.6730823934214468,0.5501649349629384,3_3_50_1000,1.7920913763820803
living weighted avg,0.43782593122957986,0.6225901089689857,0.509194751908306,3_3_50_1000,1.7920913763820803
accuracy,0.8912520743726081,0.8912520743726081,0.8912520743726081,1_7_50_1000,10.17483524342016
macro avg,0.6350510436306862,0.7211132369367914,0.6649200203405068,1_7_50_1000,10.17483524342016
weighted avg,0.9078752744247887,0.8912520743726081,0.8970581858784231,1_7_50_1000,10.17483524342016
living macro avg,0.5811640858161349,0.673587806538658,0.6118334899678216,1_7_50_1000,10.17483524342016
living weighted avg,0.4894320052332968,0.6389354568315172,0.5494884582513377,1_7_50_1000,10.17483524342016
accuracy,0.9228672062857723,0.9228672062857723,0.9228672062857723,0.05_4_0_2500,43.517357036545924
macro avg,0.850170998786173,0.6218725579676716,0.6974891702817348,0.05_4_0_2500,43.517357036545924
weighted avg,0.9149361243463928,0.9228672062857723,0.9158819420935709,0.05_4_0_2500,43.517357036545924
living macro avg,0.8386832862264487,0.5563918850221898,0.6494399341820116,0.05_4_0_2500,43.517357036545924
living weighted avg,0.7202751283651126,0.5016764459346186,0.5773058518482387,0.05_4_0_2500,43.517357036545924
accuracy,0.8830053849019541,0.8830053849019541,0.8830053849019541,3_7_50_1000,3.16999818089088
macro avg,0.596723350879793,0.6959997028033085,0.6332487812777766,3_7_50_1000,3.16999818089088
weighted avg,0.9033443666156361,0.8830053849019541,0.8903266385085343,3_7_50_1000,3.16999818089088
living macro avg,0.5346556482817131,0.6440451468817133,0.5738263526841151,3_7_50_1000,3.16999818089088
living weighted avg,0.4536054713676327,0.625943000838223,0.5219622887663917,3_7_50_1000,3.16999818089088
accuracy,0.7879398516611914,0.7879398516611914,0.7879398516611914,2_4_75_1000,1.49082947339136
macro avg,0.37242911676105267,0.7687559941820066,0.4714975191925694,2_4_75_1000,1.49082947339136
weighted avg,0.8926131285060732,0.7879398516611914,0.8227599574202055,2_4_75_1000,1.49082947339136
living macro avg,0.26523829389697273,0.7410972470360513,0.38193899151956023,2_4_75_1000,1.49082947339136
living weighted avg,0.2765735317769231,0.6785414920368819,0.3877143319637513,2_4_75_1000,1.49082947339136
accuracy,0.9188369966471365,0.9188369966471365,0.9188369966471365,3_7_0_1000,6.521987939616
macro avg,0.8127177640932741,0.5865337450905423,0.6591825632885463,3_7_0_1000,6.521987939616
weighted avg,0.9101272695113956,0.9188369966471365,0.9117317957636625,3_7_0_1000,6.521987939616
living macro avg,0.7925384543895423,0.5128419902107451,0.60220403700044,3_7_0_1000,6.521987939616
living weighted avg,0.6909630467581225,0.48030176026823135,0.5554110439356251,3_7_0_1000,6.521987939616
accuracy,0.913215023537779,0.913215023537779,0.913215023537779,3_5_25_1000,3.9852371365996806
macro avg,0.76843309294978,0.6540830746242976,0.6877958040961281,3_5_25_1000,3.9852371365996806
weighted avg,0.9110612865697646,0.913215023537779,0.9113775975874624,3_5_25_1000,3.9852371365996806
living macro avg,0.7425908884408794,0.5925335215849594,0.6384087449904015,3_5_25_1000,3.9852371365996806
living weighted avg,0.6090196038021346,0.5699916177703269,0.5819622422257376,3_5_25_1000,3.9852371365996806
accuracy,0.9159582754766824,0.9159582754766824,0.9159582754766824,0.05_3_25_2500,26.984382731080323
macro avg,0.7694420926220091,0.6792457417673575,0.7056589581317632,0.05_3_25_2500,26.984382731080323
weighted avg,0.913225978806483,0.9159582754766824,0.9136296166592779,0.05_3_25_2500,26.984382731080323
living macro avg,0.7428931006521389,0.6229232122611554,0.6597211782654203,0.05_3_25_2500,26.984382731080323
living weighted avg,0.6165562478130109,0.5750209555741828,0.5856948497891578,0.05_3_25_2500,26.984382731080323
accuracy,0.884241541639855,0.884241541639855,0.884241541639855,2_6_50_1000,3.7611770771616
macro avg,0.600091339031517,0.7201824226076231,0.645767846507287,2_6_50_1000,3.7611770771616
weighted avg,0.9042594545516384,0.884241541639855,0.8912695379549281,2_6_50_1000,3.7611770771616
